Id;_submitted;;Vogelart;Vogelgruppe;Anzahl-funde;Todesursache;Todesursache-bemerkungen;Foto;Meldung-anderswo;Anderswo-gemeldet;Geo1;Geo2;Strasse;Plz;Ort;Umgebung;Infrastruktur;Abstand;Schutzgebiet;Tag;Monat;Jahr;Uhrzeit;Wetter;Stromleitung;Masttyp;Leiterebenen;Erdseile;Mast-nummer;;;;
2175142;08.11.2017 16:40;;uhu;eulen;2;ursache-stromtod;Verwesung war bereits fortgeschritten (Siehe Bild);ja;anderswo-ja;Untere Naturschutzbehörde Sinsheim, Rhein Neckar Kreis ;49.5512;8.6346;Elserstr.;69469;Weinheim;Bezeichnung des Mastens: Freundenberg Süd ;stromleitung;10;außerhalb;23;9;2017;13:00 Uhr;bewoelkt;ltg-kreuz;mast-einebene;leiterebene-1;erdseil-1;Keine;;;;
2174112;07.11.2017 14:30;;hoeckerschwan;schwaene;4;ursache-kollision;;;anderswo-ja;Untere Naturschutzbehörde Wittenberg;51.8379;12.7258;;6901;Dabrun;"unmittelbar am Dabruner Weinberg bzw. am Dabruner Riß (= regelmäßiges Schlafgewässer von vielen Höcker-, Sing- und einigen Zwergschwänen sowie nordischen Gänsen).
Direkt unter Hochspannungsleitung liegend
unmittelbar an Grenze zu mehreren Schutzgebieten";stromleitung;10;außerhalb;7;11;2017;13:30;"nebel; bewoelkt";ltg-kreuz;mast-einebene;leiterebene-1;erdseil-1;;;;;
2173712;06.11.2017 21:28;;weissstorch;stoerche;2;ursache-unbekannt;2 tote Störche wurden am 12.08.2017 direkt neben einer Stromtrasse gefunden. Fundort: 64521 Groß-Gerau/Dornheim, außerhalb des Ortes Richtung Leeheim. Ein Storch war von der Vogelwarte Wilhelmshaven beringt. Dieser wurde der Fund gemeldet.;;anderswo-ja;Vogelwarte Wilhelmshaven (ein Storch war von dieser beringt);49.8754;8.4701;K 157, Verlängerung Rheinstraße, außerhalb des Ortes Richtung Leeheim;64521;Groß-Gerau/Dornheim;Wenn man aus Dornheim Richtung Leeheim fährt, hinter Friedhof Beton-Feldweg nach rechts einbiegen. An Feldscheune weiter geradeaus unter der Stromleitung durch. Fundort auf der linken Seite des Feldweges.;"stromleitung; autobahn";50;außerhalb;12;8;2017;;;;;;;;;;;
2159703;20.10.2017 17:40;;rabenkraehe;kraehen;1;ursache-stromtod;Eine tote Rabenkrähe  und ein Rotmilan (Bild) lag unter dem Masten. Die Stromschlagofewr wurden mir vondem Landwirt Peter Z. gemeldet und gezeigt. Die beiden Vögel lagen unter dem Strommasten, siehe Bild;;anderswo-nein;;47.7564;9.65;Wiesenweg 2;;Günkraut-Gullen;;stromleitung;200;außerhalb;10;10;2017;14:00;bewoelkt;ltg-abstand;mast-beton;leiterebene-1;1;45 (siehe Bild vom Mastenschild);;;;
2159702;20.10.2017 17:40;;rotmilan;greifvoegel-falken;1;ursache-stromtod;Eine tote Rabenkrähe  und ein Rotmilan (Bild) lag unter dem Masten. Die Stromschlagofewr wurden mir vondem Landwirt Peter Z. gemeldet und gezeigt. Die beiden Vögel lagen unter dem Strommasten, siehe Bild;ja;anderswo-nein;;47.7564;9.65;Wiesenweg 2;;Günkraut-Gullen;;stromleitung;200;außerhalb;10;10;2017;14:00;bewoelkt;ltg-abstand;mast-beton;leiterebene-1;;45 (siehe Bild vom Mastenschild);;;;
2154882;12.10.2017 01:21;;habicht;greifvoegel-falken;1;ursache-unbekannt;Ich vermute das der junge habicht am Bahnhof jagt auf die dortigen tauben machen wollte und dabei an den Leitungen der Bahn (Strom) fand.;;anderswo-ja;"Der Polizei Lauf an der Pegnitz (diese leiteten es weiter an die Bahnpolizei )
Sowie bei Herrn Bernd Michel LBV Bayern telefonisch und mit Foto per Mail. ";49.479261;11.230510;Bahnhofstraße;;Röthenbach / Pegnitz;Bahnsteig der s bahn direkt vor dem Aufzug;bahntrasse;10;außerhalb;13;8;2017;Dez 40;klar;;;;;;;;;
2151632;05.10.2017 14:15;;weissstorch;stoerche;1;ursache-stromtod;NABU-Hamburg Webcam-Storch Maria;;anderswo-ja;Veterinäramt;53.45987;10.24908;;21039;Curslack;"Nahe dem Nest der NABU-Internetstars ?Rolf? und ?Maria?, wurde am gestrigen
Mittwoch ein toter Storch gefunden...";stromleitung;10;unbekannt;1;3;2017;HH.MM;klar;ltg-abstand;mast-tonne;leiterebene-3;erdseil-1;;;;;
2151602;05.10.2017 14:00;;bartgeier;greifvoegel-falken;1;ursache-kollision;;;anderswo-ja;NABU Schleswig-Holstein;54.2591;10.7094;;24327;Nessendorf;am Hasenberg;stromleitung;50;unbekannt;5;7;2016;12:00;bewoelkt;ltg-nein;mast-beton;leiterebene-1;erdseil-0;;;;;
2151582;05.10.2017 13:43;;weissstorch;stoerche;1;ursache-kollision;"Die Todesursache des Vogels ist unklar. Der Fundort neben einem
Hochspannungsmast könnte aber auf einen Flugunfall hindeuten. Der tote
Wildvogel wird derzeit vom Veterinäramt untersucht, um die genaue
Todesursache festzustellen. Der Befund wird in zwei";;anderswo-ja;Veterinäramt;53.4392;10.2426;;21039;Curslack;;"stromleitung; gebaeude";10;außerhalb;1;3;2017;12:00;bewoelkt;ltg-nein;mast-beton;leiterebene-3;erdseil-1;;;;;
2151492;05.10.2017 10:57;;kranich;kraniche;50;ursache-kollision;Nach intensiver Begehung des Fundortes sind wir inzwischen zu der Überzeugung gelangt, dass die am 18. Dezember 2015 gefundenen ca. 50 Kranichkadaver an den Schwahbergen/Pessin ein Nebelopfer der Überlandleitungen geworden sind. Die Knochenreste, nur noch;;anderswo-ja;"Staatliche Vogelschutzwarte Brandenburg
";52.6188;12.6625;;;;"Der Ort ist in der Gemarkung von Pessin. Östlich vom Schwahberg gelegen. Die Wiesen in Richtung Retzow. Die Fundstelle befand sich über eine Länge von ca. 400 m direkt unter der Stromleitung mit einer Streuung von ca. 50 m links + rechts.
";"stromleitung; autobahn";10;innerhalb;18;12;2015;12:00;nebel;ltg-abstand;mast-einebene;leiterebene-1;erdseil-2;;;;;
2151472;05.10.2017 10:41;;schwarzstorch;stoerche;1;ursache-unbekannt;Fundumstände: Der Vogel muss schon länger am Platz gelegen haben, denn die Schwingen waren bereits wieder von aufwachsendem Gras eingedeckt, vom Becken usw. waren nur noch sauber abgefressene Knochen sichtbar. Weil der Finder die Ringe entfernt hat, ist d;;anderswo-ja;Dieter Haas;50.6479;7.8168;;;;Fundort: Mast im Winkel der RWE-Trasse im Rothenbachtal westlich Hachenburger Gebück;"stromleitung; autobahn";10;außerhalb;21;8;2014;12:00;bewoelkt;ltg-nein;mast-tonne;leiterebene-3;erdseil-1;0858 / M 17, VWU Höhn Ost;;;;
2150922;04.10.2017 11:46;;hoeckerschwan;schwaene;2;ursache-kollision;;;anderswo-ja;"Staatliche Vogelschutzwarte Niedersachsen
P. Barthel über Markus Nipkow";51.7534;9.9565;;;;Vogelschutzgebiet Leinepolder;stromleitung;10;innerhalb;12;2;2013;14:30;"bewoelkt; regen";;mast-tonne;leiterebene-2;erdseil-1;weiß nicht;;;;
