Id,_submitted,Auf Karte zeigen?,Vogelart,Anzahl-funde,Todesursache,lat,lon,Tag,Monat,Jahr,Massnahme
5731132,06.11.2020 10:21,ja,Schwarzstorch,1,ursache-stromtod,50.417094,11.836061,25,9,2020,
5706302,21.10.2020 16:06,ja,Höckerschwan,1,ursache-kollision,53.3836,8.3359,16,10,2020,
5688842,10.10.2020 18:56,ja,Saatkrähe,4,ursache-stromtod,50.8178,6.5834,10,9,2020,
5680872,06.10.2020 17:38,ja,Teichhuhn,1,ursache-kollision,53.69,10.0525,19,9,2020,
5628022,24.09.2020 06:58,ja,Mäusebussard,5,ursache-stromtod,47.9761,9.2583,19,9,2020,
5564282,02.09.2020 16:04,ja,Weißstorch,2,ursache-stromtod,49.023278,8.238556,30,8,2020,Leitung soll unter die Erde verlegt werden.
5524502,17.08.2020 11:01,ja,Höckerschwan,1,ursache-kollision,54.1362,13.3755,11,2,2020,Vogelschutzmarker (Fireflies) wurden im Herbst 2020 angebracht.
5524462,17.08.2020 10:58,ja,Höckerschwan,2,ursache-kollision,54.1338,13.3758,6,2,2020,Vogelschutzmarker (Fireflies) wurden im Herbst 2020 angebracht.
5524382,17.08.2020 10:53,ja,Höckerschwan,2,ursache-kollision,54.1364,13.3754,28,1,2020,Vogelschutzmarker (Fireflies) wurden im Herbst 2020 angebracht.
5524322,17.08.2020 10:44,ja,Höckerschwan,1,ursache-kollision,54.1366,13.3753,24,1,2020,Vogelschutzmarker (Fireflies) wurden im Herbst 2020 angebracht.
5524282,17.08.2020 10:33,ja,Höckerschwan,1,ursache-kollision,54.1373,13.3753,10,1,2020,Vogelschutzmarker (Fireflies) wurden im Herbst 2020 angebracht.
5523532,16.08.2020 23:24,ja,Höckerschwan,3,ursache-kollision,54.1362,13.3755,5,11,2019,Vogelschutzmarker (Fireflies) wurden im Herbst 2020 angebracht.
5523492,16.08.2020 23:12,ja,Höckerschwan,2,ursache-kollision,54.1368,13.3754,1,11,2019,Vogelschutzmarker (Fireflies) wurden im Herbst 2020 angebracht.
5516042,13.08.2020 16:53,ja,Weißstorch,1,ursache-stromtod,52.3392,10.9595,5,8,2020,
5512262,10.08.2020 14:53,ja,Weißstorch,1,ursache-stromtod,49.46616,7.548491,7,8,2020,
